provenance_row_id,form_name,field,source_value,source_concept_name,standard_concept_id,source_concept_code,source_lookup_uri,target_omop_uri
prov-0152,Adverse Event/SAE,observation_source_value,ae_status2,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0153,Adverse Event/SAE,observation_source_value,ae_status3,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0154,Adverse Event/SAE,observation_source_value,ae_status4,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0155,Adverse Event/SAE,observation_source_value,ae_status5,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0156,Adverse Event/SAE,observation_source_value,ae_status6,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0157,Adverse Event/SAE,observation_source_value,ae_status7,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0158,Adverse Event/SAE,observation_source_value,ae_status8,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0159,Adverse Event/SAE,observation_source_value,ae_status9,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0160,Adverse Event/SAE,observation_source_value,ae_status_14,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0161,Adverse Event/SAE,observation_source_value,ae_status_15,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0162,Adverse Event/SAE,observation_source_value,ae_status_16,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0163,Adverse Event/SAE,observation_source_value,ae_status_17,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0164,Adverse Event/SAE,observation_source_value,ae_status_18,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0165,Adverse Event/SAE,observation_source_value,ae_status_19,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0166,Adverse Event/SAE,observation_source_value,ae_status_20,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0167,Adverse Event/SAE,condition_source_value,Akathisia,Akathisia,4108925,285145004,,https://athena.ohdsi.org/search-terms/terms/4108925
prov-0168,Adverse Event/SAE,condition_source_value,Alkalosis,Alkalosis,438730,21420006,,https://athena.ohdsi.org/search-terms/terms/438730
prov-0169,Adverse Event/SAE,condition_source_value,Allergic reaction,Allergic reaction,40589905,419076005,,https://athena.ohdsi.org/search-terms/terms/40589905
prov-0170,Adverse Event/SAE,condition_source_value,Allergic rhinitis,Allergic rhinitis,257007,MONDO:0011786,http://purl.obolibrary.org/obo/MONDO_0011786,https://athena.ohdsi.org/search-terms/terms/257007
prov-0171,Adverse Event/SAE,condition_source_value,Amenorrhea,Amenorrhea,443800,14302001,,https://athena.ohdsi.org/search-terms/terms/443800
prov-0172,Adverse Event/SAE,condition_source_value,Amnesia,Amnesia,439147,48167000,,https://athena.ohdsi.org/search-terms/terms/439147
prov-0173,Adverse Event/SAE,condition_source_value,Anal fissure,Anal fissure,76725,30037006,,https://athena.ohdsi.org/search-terms/terms/76725
prov-0174,Adverse Event/SAE,condition_source_value,Anal fistula,Anal fistula,37203984,MONDO:0000754,http://purl.obolibrary.org/obo/MONDO_0000754,https://athena.ohdsi.org/search-terms/terms/37203984
prov-0175,Adverse Event/SAE,condition_source_value,Anal pain,Anal pain,442764,68653001,,https://athena.ohdsi.org/search-terms/terms/442764
prov-0176,Adverse Event/SAE,condition_source_value,Anal stenosis,Stenosis of anal canal,4274002,64153009,,https://athena.ohdsi.org/search-terms/terms/4274002
prov-0177,Adverse Event/SAE,condition_source_value,Anal ulcer,Ulcer of anus,444397,20928004,,https://athena.ohdsi.org/search-terms/terms/444397
prov-0178,Adverse Event/SAE,condition_source_value,Anaphylaxis,Anaphylaxis,441202,MONDO:0100053,http://purl.obolibrary.org/obo/MONDO_0100053,https://athena.ohdsi.org/search-terms/terms/441202
prov-0179,Adverse Event/SAE,condition_source_value,Anemia,Anemia,439777,MONDO:0002280,http://purl.obolibrary.org/obo/MONDO_0002280,https://athena.ohdsi.org/search-terms/terms/439777
prov-0180,Adverse Event/SAE,condition_source_value,Ankle fracture,Fracture of ankle,4059173,16114001,,https://athena.ohdsi.org/search-terms/terms/4059173
prov-0181,Adverse Event/SAE,condition_source_value,Anorgasmia,Orgasm disorder,4221288,82636008,,https://athena.ohdsi.org/search-terms/terms/4221288
prov-0182,Adverse Event/SAE,condition_source_value,Anosmia,Loss of sense of smell,4185711,44169009,,https://athena.ohdsi.org/search-terms/terms/4185711
prov-0183,Adverse Event/SAE,condition_source_value,Aortic injury,Injury of aorta,40484607,444036008,,https://athena.ohdsi.org/search-terms/terms/40484607
prov-0184,Adverse Event/SAE,condition_source_value,Aortic valve disease,Aortic valve disorder,314054,8722008,,https://athena.ohdsi.org/search-terms/terms/314054
prov-0185,Adverse Event/SAE,condition_source_value,Aphonia,Aphonia,40481303,441913003,,https://athena.ohdsi.org/search-terms/terms/40481303
